23651, 20211221.28, 2021-12-21T18:21:55.9961488Z, dependency_graph, succeeded, completed, compatibility_matrix Python38-PandasLatest | 0, comprehensive Python38 | 0, mysql | 0, test_cli | 0
23647, 20211221.27, 2021-12-21T17:40:02.205128Z, dependency_graph, succeeded, completed, compatibility_matrix Python38-PandasLatest | 56, comprehensive Python38 | 56, mysql | 56, test_cli | 0
23639, 20211221.25, 2021-12-21T17:33:38.6709249Z, dependency_graph, failed, completed, compatibility_matrix Python38-PandasLatest | 0, comprehensive Python38 | 0, mysql | 0, test_cli | 0
23635, 20211221.24, 2021-12-21T16:15:38.9700022Z, dependency_graph, succeeded, completed, compatibility_matrix Python38-PandasLatest | 2188, comprehensive Python38 | 5289, mysql | 4308, test_cli | 451
23632, 20211221.23, 2021-12-21T15:27:22.4531561Z, dependency_graph, succeeded, completed, compatibility_matrix Python38-PandasLatest | 56, comprehensive Python38 | 56, mysql | 56, test_cli | 0
23628, 20211221.22, 2021-12-21T13:52:12.518166Z, dependency_graph, succeeded, completed, compatibility_matrix Python38-PandasLatest | 0, comprehensive Python38 | 0, mysql | 0, test_cli | 0
23626, 20211221.21, 2021-12-21T13:52:05.4739204Z, dependency_graph, succeeded, completed, compatibility_matrix Python38-PandasLatest | 0, comprehensive Python38 | 0, mysql | 0, test_cli | 0
23624, 20211221.20, 2021-12-21T13:52:04.0073599Z, dependency_graph, succeeded, completed, compatibility_matrix Python38-PandasLatest | 0, comprehensive Python38 | 0, mysql | 0, test_cli | 0
23623, 20211221.19, 2021-12-21T13:52:02.361816Z, dependency_graph, succeeded, completed, compatibility_matrix Python38-PandasLatest | 0, comprehensive Python38 | 0, mysql | 0, test_cli | 0
23621, 20211221.18, 2021-12-21T13:52:00.1834336Z, dependency_graph, succeeded, completed, compatibility_matrix Python38-PandasLatest | 0, comprehensive Python38 | 0, mysql | 0, test_cli | 0
23617, 20211221.17, 2021-12-21T13:51:58.0217424Z, dependency_graph, succeeded, completed, compatibility_matrix Python38-PandasLatest | 0, comprehensive Python38 | 0, mysql | 0, test_cli | 0
23614, 20211221.16, 2021-12-21T13:51:56.6797801Z, dependency_graph, succeeded, completed, compatibility_matrix Python38-PandasLatest | 0, comprehensive Python38 | 0, mysql | 0, test_cli | 0
23613, 20211221.15, 2021-12-21T13:51:55.909735Z, dependency_graph, succeeded, completed, compatibility_matrix Python38-PandasLatest | 0, comprehensive Python38 | 0, mysql | 0, test_cli | 0
23604, 20211221.14, 2021-12-21T13:51:50.0835267Z, dependency_graph, succeeded, completed, compatibility_matrix Python38-PandasLatest | 0, comprehensive Python38 | 0, mysql | 0, test_cli | 0
23603, 20211221.13, 2021-12-21T13:51:50.0695656Z, dependency_graph, succeeded, completed, compatibility_matrix Python38-PandasLatest | 0, comprehensive Python38 | 0, mysql | 0, test_cli | 0
23588, 20211221.12, 2021-12-21T13:50:55.6048358Z, dependency_graph, succeeded, completed, compatibility_matrix Python38-PandasLatest | 0, comprehensive Python38 | 0, mysql | 0, test_cli | 0
23584, 20211221.11, 2021-12-21T13:13:58.4766408Z, dependency_graph, succeeded, completed, compatibility_matrix Python38-PandasLatest | 55, comprehensive Python38 | 55, mysql | 55, test_cli | 0
23579, 20211221.10, 2021-12-21T04:52:59.8269446Z, dependency_graph, succeeded, completed, compatibility_matrix Python38-PandasLatest | 0, comprehensive Python38 | 0, mysql | 0, test_cli | 0
23575, 20211221.9, 2021-12-21T02:57:53.6609287Z, dependency_graph, succeeded, completed, compatibility_matrix Python38-PandasLatest | 0, comprehensive Python38 | 0, mysql | 0, test_cli | 0
23571, 20211221.8, 2021-12-21T02:23:56.1387664Z, dependency_graph, succeeded, completed, compatibility_matrix Python38-PandasLatest | 55, comprehensive Python38 | 55, mysql | 55, test_cli | 0
23567, 20211221.7, 2021-12-21T02:11:44.7010463Z, dependency_graph, succeeded, completed, compatibility_matrix Python38-PandasLatest | 2542, comprehensive Python38 | 5781, mysql | 4775, test_cli | 444
23563, 20211221.6, 2021-12-21T02:11:30.5354557Z, dependency_graph, succeeded, completed, compatibility_matrix Python38-PandasLatest | 2542, comprehensive Python38 | 5781, mysql | 4775, test_cli | 444
23557, 20211221.4, 2021-12-21T02:01:33.2786786Z, dependency_graph, succeeded, completed, compatibility_matrix Python38-PandasLatest | 2542, comprehensive Python38 | 5781, mysql | 4775, test_cli | 444
23555, 20211221.3, 2021-12-21T01:41:40.3553214Z, dependency_graph, succeeded, completed, compatibility_matrix Python38-PandasLatest | 55, comprehensive Python38 | 55, mysql | 55, test_cli | 0
23551, 20211221.2, 2021-12-21T00:13:59.744554Z, dependency_graph, succeeded, completed, compatibility_matrix Python38-PandasLatest | 55, comprehensive Python38 | 55, mysql | 55, test_cli | 0
23543, 20211220.41, 2021-12-20T23:49:47.2789104Z, dependency_graph, succeeded, completed, compatibility_matrix Python38-PandasLatest | 0, comprehensive Python38 | 0, mysql | 0, test_cli | 0
23535, 20211220.39, 2021-12-20T22:53:57.4252632Z, dependency_graph, failed, completed, compatibility_matrix Python38-PandasLatest | 2574, comprehensive Python38 | 5808, mysql | 4805, test_cli | 0
23531, 20211220.38, 2021-12-20T22:25:26.6765455Z, dependency_graph, succeeded, completed, compatibility_matrix Python38-PandasLatest | 55, comprehensive Python38 | 55, mysql | 55, test_cli | 0
23527, 20211220.37, 2021-12-20T21:54:47.1314389Z, dependency_graph, succeeded, completed, compatibility_matrix Python38-PandasLatest | 2574, comprehensive Python38 | 5808, mysql | 4805, test_cli | 451
23523, 20211220.36, 2021-12-20T21:43:55.7228014Z, dependency_graph, succeeded, completed, compatibility_matrix Python38-PandasLatest | 55, comprehensive Python38 | 55, mysql | 55, test_cli | 0
